unit_nr,event_time,time_cycles,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,2/1/2024 0:01,1,0.0023,0.0003,100.0,518.67,643.02,1585.29,1398.21,14.62,21.61,553.9,2388.04,9050.17,1.3,47.2,521.72,2388.03,8125.55,8.4052,0.03,392,2388,100.0,38.86,23.3735
2,2/1/2024 0:01,1,-0.0009,0.0004,100.0,518.67,642.66,1589.3,1407.16,14.62,21.61,553.14,2388.1,9040.2,1.3,47.43,521.62,2388.14,8129.59,8.4283,0.03,392,2388,100.0,39.0,23.3923
3,2/1/2024 0:01,1,-0.0001,0.0001,100.0,518.67,642.03,1589.92,1408.39,14.62,21.61,553.4,2388.07,9053.65,1.3,47.71,522.2,2388.13,8131.17,8.433,0.03,392,2388,100.0,38.99,23.296
4,2/1/2024 0:01,1,-0.0024,0.0,100.0,518.67,642.63,1589.43,1399.93,14.62,21.61,553.1,2388.05,9048.52,1.3,47.44,521.78,2388.15,8131.61,8.4195,0.03,393,2388,100.0,38.88,23.3204
5,2/1/2024 0:01,1,0.0024,-0.0004,100.0,518.67,642.43,1590.79,1402.02,14.62,21.61,553.5,2388.07,9051.54,1.3,47.37,522.2,2388.07,8130.9,8.4426,0.03,394,2388,100.0,39.04,23.3916
6,2/1/2024 0:01,1,-0.0009,-0.0001,100.0,518.67,642.06,1590.15,1408.02,14.62,21.61,553.87,2388.08,9055.18,1.3,47.35,521.23,2388.08,8126.75,8.4314,0.03,393,2388,100.0,38.9,23.3147
7,2/1/2024 0:01,1,0.0018,0.0002,100.0,518.67,642.61,1587.18,1399.82,14.62,21.61,554.58,2387.96,9062.5,1.3,47.19,521.87,2388.03,8144.16,8.4147,0.03,391,2388,100.0,39.04,23.3756
8,2/1/2024 0:01,1,-0.003,0.0002,100.0,518.67,642.32,1594.51,1401.99,14.62,21.61,553.84,2388.08,9052.06,1.3,47.34,521.79,2388.08,8131.22,8.4291,0.03,392,2388,100.0,38.99,23.3352
9,2/1/2024 0:01,1,-0.0039,0.0,100.0,518.67,642.85,1587.9,1399.24,14.62,21.61,553.91,2388.16,9049.36,1.3,47.54,521.22,2388.15,8133.88,8.4256,0.03,394,2388,100.0,38.91,23.311
10,2/1/2024 0:01,1,-0.0017,-0.0,100.0,518.67,642.07,1584.19,1403.69,14.62,21.61,554.53,2388.01,9057.35,1.3,47.32,522.13,2388.01,8145.46,8.4039,0.03,391,2388,100.0,38.75,23.353
11,2/1/2024 0:01,1,0.0028,-0.0003,100.0,518.67,642.61,1597.1,1416.61,14.62,21.61,552.87,2388.19,9044.53,1.3,47.58,521.41,2388.14,8120.2,8.4409,0.03,394,2388,100.0,38.93,23.2872
12,2/1/2024 0:01,1,-0.0015,-0.0001,100.0,518.67,642.04,1590.44,1399.93,14.62,21.61,554.35,2388.04,9059.66,1.3,47.11,522.16,2387.98,8140.24,8.4069,0.03,393,2388,100.0,39.01,23.3777
13,2/1/2024 0:01,1,-0.0023,0.0004,100.0,518.67,642.63,1583.43,1400.97,14.62,21.61,554.17,2387.99,9068.45,1.3,47.31,522.43,2387.99,8137.44,8.409,0.03,391,2388,100.0,38.92,23.3614
14,2/1/2024 0:01,1,0.0023,0.0001,100.0,518.67,642.66,1585.63,1415.87,14.62,21.61,553.49,2388.13,9034.75,1.3,47.5,521.01,2388.18,8122.18,8.4474,0.03,394,2388,100.0,38.77,23.3023
15,2/1/2024 0:01,1,0.0017,0.0003,100.0,518.67,642.19,1585.73,1403.05,14.62,21.61,553.76,2387.98,9051.46,1.3,47.19,521.52,2388.07,8135.89,8.4166,0.03,393,2388,100.0,39.06,23.3873
16,2/1/2024 0:01,1,0.0011,0.0,100.0,518.67,642.42,1578.16,1394.95,14.62,21.61,554.02,2388.04,9050.02,1.3,47.22,522.4,2388.08,8132.87,8.4024,0.03,391,2388,100.0,38.93,23.3745
17,2/1/2024 0:01,1,0.003,0.0004,100.0,518.67,642.12,1585.15,1402.77,14.62,21.61,554.5,2388.0,9068.53,1.3,47.37,522.67,2388.07,8152.77,8.3882,0.03,391,2388,100.0,38.84,23.3738
18,2/1/2024 0:01,1,0.0007,-0.0004,100.0,518.67,642.23,1586.9,1395.19,14.62,21.61,554.57,2388.0,9074.23,1.3,47.13,521.9,2388.04,8149.13,8.4134,0.03,393,2388,100.0,39.04,23.3448
19,2/1/2024 0:01,1,0.0018,-0.0001,100.0,518.67,642.22,1592.42,1398.42,14.62,21.61,554.01,2388.02,9055.65,1.3,47.07,522.24,2387.99,8137.8,8.3888,0.03,391,2388,100.0,39.02,23.469
20,2/1/2024 0:01,1,0.0011,-0.0005,100.0,518.67,642.26,1588.38,1397.78,14.62,21.61,554.43,2388.07,9072.24,1.3,47.4,521.88,2388.06,8147.58,8.3923,0.03,393,2388,100.0,38.76,23.497
21,2/1/2024 0:01,1,-0.0011,0.0,100.0,518.67,642.07,1590.11,1394.38,14.62,21.61,554.73,2388.03,9048.55,1.3,47.3,522.74,2388.03,8142.62,8.4358,0.03,390,2388,100.0,39.18,23.3444
22,2/1/2024 0:01,1,0.0006,0.0002,100.0,518.67,642.8,1587.09,1410.91,14.62,21.61,554.32,2388.13,9052.34,1.3,47.37,521.66,2388.11,8137.36,8.4252,0.03,394,2388,100.0,38.94,23.247
23,2/1/2024 0:01,1,0.0026,-0.0004,100.0,518.67,642.27,1570.12,1395.33,14.62,21.61,554.39,2388.04,9049.0,1.3,47.22,522.75,2388.08,8130.18,8.3746,0.03,390,2388,100.0,39.07,23.4241
24,2/1/2024 0:01,1,0.0027,0.0004,100.0,518.67,642.27,1579.49,1392.25,14.62,21.61,554.8,2388.01,9062.42,1.3,47.24,522.65,2388.0,8142.68,8.3943,0.03,391,2388,100.0,39.01,23.4534
25,2/1/2024 0:01,1,0.0022,-0.0001,100.0,518.67,642.28,1589.09,1396.65,14.62,21.61,553.68,2388.08,9050.99,1.3,47.54,522.14,2388.04,8135.76,8.4075,0.03,394,2388,100.0,39.06,23.345
26,2/1/2024 0:01,1,-0.0027,0.0006,100.0,518.67,642.0,1582.88,1399.92,14.62,21.61,554.54,2388.02,9060.88,1.3,47.38,522.55,2387.98,8147.17,8.3468,0.03,392,2388,100.0,38.82,23.3876
27,2/1/2024 0:01,1,-0.0023,0.0002,100.0,518.67,641.88,1585.88,1394.82,14.62,21.61,554.73,2388.01,9048.04,1.3,47.16,522.06,2387.98,8136.37,8.3713,0.03,391,2388,100.0,39.02,23.3319
28,2/1/2024 0:01,1,0.0011,0.0001,100.0,518.67,642.44,1589.74,1408.96,14.62,21.61,552.96,2388.08,9047.57,1.3,47.49,522.04,2388.05,8128.58,8.4406,0.03,393,2388,100.0,38.96,23.3519
29,2/1/2024 0:01,1,-0.0003,0.0005,100.0,518.67,641.99,1580.61,1404.52,14.62,21.61,553.89,2388.02,9055.55,1.3,47.23,521.98,2388.07,8135.24,8.4054,0.03,389,2388,100.0,39.16,23.4433
30,2/1/2024 0:01,1,0.0035,-0.0003,100.0,518.67,642.35,1588.33,1401.91,14.62,21.61,553.6,2388.1,9042.83,1.3,47.44,521.29,2388.13,8125.68,8.4299,0.03,393,2388,100.0,38.77,23.1735
31,2/1/2024 0:01,1,-0.0019,-0.0004,100.0,518.67,642.75,1582.03,1392.43,14.62,21.61,554.8,2388.0,9062.13,1.3,47.31,522.36,2388.0,8150.89,8.4028,0.03,394,2388,100.0,38.83,23.4048
32,2/1/2024 0:01,1,-0.0006,0.0004,100.0,518.67,642.56,1580.94,1400.1,14.62,21.61,554.13,2387.97,9073.46,1.3,47.12,522.47,2387.98,8149.27,8.3727,0.03,391,2388,100.0,38.9,23.3463
33,2/1/2024 0:01,1,-0.0007,-0.0003,100.0,518.67,642.53,1588.31,1413.64,14.62,21.61,553.33,2388.1,9058.18,1.3,47.71,521.14,2388.12,8135.52,8.4434,0.03,392,2388,100.0,38.76,23.281
34,2/1/2024 0:01,1,0.0009,-0.0002,100.0,518.67,642.66,1574.94,1402.56,14.62,21.61,554.68,2388.02,9071.43,1.3,47.21,522.54,2388.03,8149.93,8.3864,0.03,391,2388,100.0,39.18,23.4691
35,2/1/2024 0:01,1,0.0028,0.0002,100.0,518.67,642.67,1592.98,1413.64,14.62,21.61,553.62,2388.09,9052.47,1.3,47.48,521.97,2388.08,8130.24,8.4369,0.03,391,2388,100.0,38.84,23.3368
36,2/1/2024 0:01,1,0.0055,-0.0002,100.0,518.67,642.73,1591.64,1412.96,14.62,21.61,553.3,2388.14,9060.36,1.3,47.91,521.44,2388.06,8140.46,8.451,0.03,394,2388,100.0,38.76,23.2795
37,2/1/2024 0:01,1,-0.0004,-0.0002,100.0,518.67,642.06,1591.3,1396.14,14.62,21.61,554.02,2388.01,9051.31,1.3,47.06,522.14,2388.02,8137.78,8.4051,0.03,391,2388,100.0,39.23,23.369
38,2/1/2024 0:01,1,-0.0025,-0.0,100.0,518.67,643.03,1586.31,1411.05,14.62,21.61,553.59,2388.15,9055.91,1.3,47.63,521.35,2388.12,8128.7,8.4271,0.03,392,2388,100.0,38.81,23.2791
39,2/1/2024 0:01,1,-0.0005,0.0001,100.0,518.67,642.15,1575.63,1406.59,14.62,21.61,554.15,2388.02,9056.98,1.3,47.11,522.21,2388.03,8140.46,8.3785,0.03,391,2388,100.0,39.01,23.3724
40,2/1/2024 0:01,1,0.0021,0.0003,100.0,518.67,642.83,1590.31,1408.6,14.62,21.61,553.94,2388.11,9051.5,1.3,47.53,521.75,2388.12,8136.06,8.4849,0.03,393,2388,100.0,38.7,23.3795
41,2/1/2024 0:01,1,0.0013,-0.0002,100.0,518.67,641.79,1586.07,1396.42,14.62,21.61,554.39,2388.03,9053.25,1.3,47.04,522.24,2387.98,8136.0,8.3788,0.03,391,2388,100.0,38.99,23.1994
42,2/1/2024 0:01,1,-0.0024,-0.0003,100.0,518.67,642.06,1586.33,1401.03,14.62,21.61,554.61,2388.06,9055.08,1.3,47.11,522.43,2388.01,8131.3,8.4303,0.03,391,2388,100.0,39.09,23.4384
43,2/1/2024 0:01,1,0.0023,-0.0004,100.0,518.67,642.02,1588.76,1402.16,14.62,21.61,553.93,2388.06,9047.72,1.3,47.23,522.3,2388.03,8131.77,8.44,0.03,393,2388,100.0,38.77,23.359
44,2/1/2024 0:01,1,0.0005,-0.0002,100.0,518.67,642.21,1585.26,1400.3,14.62,21.61,553.64,2388.07,9054.9,1.3,47.3,521.99,2388.12,8134.06,8.406,0.03,393,2388,100.0,38.98,23.3039
45,2/1/2024 0:01,1,-0.0019,0.0001,100.0,518.67,642.68,1589.12,1407.68,14.62,21.61,552.83,2388.08,9061.47,1.3,47.47,521.67,2388.07,8146.44,8.4279,0.03,392,2388,100.0,38.92,23.1606
46,2/1/2024 0:01,1,0.0013,-0.0003,100.0,518.67,642.38,1582.81,1397.15,14.62,21.61,553.93,2388.1,9065.72,1.3,47.38,522.13,2388.06,8140.87,8.3827,0.03,393,2388,100.0,38.93,23.3516
47,2/1/2024 0:01,1,0.0028,-0.0,100.0,518.67,642.83,1586.87,1415.87,14.62,21.61,553.61,2388.15,9045.79,1.3,47.67,521.25,2388.13,8122.78,8.4507,0.03,395,2388,100.0,38.71,23.28
48,2/1/2024 0:01,1,-0.0023,0.0002,100.0,518.67,642.64,1584.29,1404.3,14.62,21.61,553.73,2388.08,9056.86,1.3,47.45,522.54,2388.07,8134.35,8.4238,0.03,394,2388,100.0,38.96,23.3472
49,2/1/2024 0:01,1,-0.002,-0.0003,100.0,518.67,642.19,1587.28,1405.05,14.62,21.61,554.28,2387.99,9063.06,1.3,47.37,522.21,2388.02,8139.4,8.3809,0.03,391,2388,100.0,38.95,23.361
50,2/1/2024 0:01,1,0.0043,-0.0001,100.0,518.67,642.47,1578.98,1397.59,14.62,21.61,553.83,2388.02,9061.18,1.3,47.37,522.04,2388.07,8143.03,8.4187,0.03,392,2388,100.0,38.98,23.4162
51,2/1/2024 0:01,1,0.0012,0.0002,100.0,518.67,642.18,1588.8,1402.01,14.62,21.61,554.6,2388.07,9047.93,1.3,47.27,522.05,2388.09,8128.58,8.3918,0.03,393,2388,100.0,38.89,23.3684
52,2/1/2024 0:01,1,-0.0015,0.0003,100.0,518.67,641.92,1584.7,1385.64,14.62,21.61,555.28,2387.93,9057.42,1.3,46.97,522.64,2388.0,8138.91,8.3665,0.03,390,2388,100.0,39.04,23.4444
53,2/1/2024 0:01,1,-0.0002,0.0004,100.0,518.67,642.16,1589.27,1403.48,14.62,21.61,554.0,2388.06,9049.1,1.3,47.31,522.34,2388.09,8133.26,8.3855,0.03,391,2388,100.0,38.97,23.4065
54,2/1/2024 0:01,1,-0.0004,0.0003,100.0,518.67,642.03,1585.17,1396.49,14.62,21.61,555.03,2387.98,9055.12,1.3,47.2,522.61,2388.02,8137.36,8.4264,0.03,392,2388,100.0,38.92,23.4404
55,2/1/2024 0:01,1,-0.0017,-0.0001,100.0,518.67,642.47,1587.07,1404.41,14.62,21.61,553.54,2388.03,9054.97,1.3,47.36,521.66,2388.04,8137.44,8.4182,0.03,392,2388,100.0,38.92,23.4867
56,2/1/2024 0:01,1,0.001,0.0003,100.0,518.67,642.72,1586.68,1412.08,14.62,21.61,553.0,2388.12,9046.05,1.3,47.5,521.4,2388.14,8119.76,8.4875,0.03,394,2388,100.0,38.99,23.3285
57,2/1/2024 0:01,1,0.001,-0.0004,100.0,518.67,642.75,1580.43,1404.95,14.62,21.61,553.8,2388.1,9047.11,1.3,47.42,522.1,2388.09,8132.19,8.4592,0.03,393,2388,100.0,38.82,23.3856
58,2/1/2024 0:01,1,0.0019,0.0003,100.0,518.67,641.93,1589.01,1397.36,14.62,21.61,553.8,2388.03,9052.53,1.3,47.15,521.89,2388.07,8127.61,8.4338,0.03,392,2388,100.0,39.01,23.2973
59,2/1/2024 0:01,1,-0.0008,-0.0004,100.0,518.67,642.25,1589.29,1395.2,14.62,21.61,554.74,2387.96,9050.56,1.3,47.44,522.52,2388.02,8139.38,8.3801,0.03,390,2388,100.0,39.14,23.3486
60,2/1/2024 0:01,1,-0.0003,-0.0005,100.0,518.67,642.13,1590.14,1406.64,14.62,21.61,553.86,2388.07,9054.04,1.3,47.39,521.98,2388.1,8140.51,8.3874,0.03,393,2388,100.0,38.87,23.294
61,2/1/2024 0:01,1,-0.0016,0.0002,100.0,518.67,642.23,1584.54,1402.25,14.62,21.61,554.95,2387.99,9064.0,1.3,47.2,522.51,2388.01,8149.44,8.3951,0.03,391,2388,100.0,38.99,23.3644
62,2/1/2024 0:01,1,-0.0025,0.0001,100.0,518.67,641.81,1584.09,1393.21,14.62,21.61,554.0,2388.08,9057.4,1.3,47.15,522.44,2388.0,8145.14,8.3754,0.03,391,2388,100.0,38.89,23.41
63,2/1/2024 0:01,1,0.0023,0.0001,100.0,518.67,642.78,1585.53,1406.67,14.62,21.61,552.74,2388.19,9052.1,1.3,47.44,521.35,2388.14,8127.52,8.4235,0.03,395,2388,100.0,38.7,23.3447
64,2/1/2024 0:01,1,-0.0022,0.0003,100.0,518.67,641.9,1587.19,1395.13,14.62,21.61,553.73,2388.06,9049.87,1.3,47.27,522.11,2388.06,8135.38,8.4356,0.03,392,2388,100.0,38.99,23.3699
65,2/1/2024 0:01,1,-0.0027,-0.0004,100.0,518.67,642.12,1582.35,1394.89,14.62,21.61,554.77,2387.95,9069.25,1.3,47.04,522.6,2387.98,8151.25,8.4143,0.03,391,2388,100.0,39.13,23.3603
66,2/1/2024 0:01,1,0.0007,0.0003,100.0,518.67,642.83,1585.12,1406.19,14.62,21.61,553.36,2388.07,9060.28,1.3,47.48,521.54,2388.06,8142.15,8.456,0.03,393,2388,100.0,38.85,23.3847
67,2/1/2024 0:01,1,0.005,-0.0004,100.0,518.67,642.08,1586.58,1393.74,14.62,21.61,554.55,2388.02,9060.78,1.3,47.2,522.33,2387.99,8143.88,8.4144,0.03,391,2388,100.0,39.16,23.3961
68,2/1/2024 0:01,1,-0.0035,0.0002,100.0,518.67,642.37,1584.02,1407.95,14.62,21.61,553.93,2388.08,9049.82,1.3,47.5,521.79,2388.08,8138.62,8.4114,0.03,393,2388,100.0,39.23,23.3271
69,2/1/2024 0:01,1,-0.0017,-0.0002,100.0,518.67,642.35,1584.11,1404.44,14.62,21.61,554.25,2388.09,9052.91,1.3,47.34,521.9,2388.07,8129.63,8.4053,0.03,391,2388,100.0,38.79,23.3601
70,2/1/2024 0:01,1,-0.0007,-0.0001,100.0,518.67,642.64,1582.44,1409.67,14.62,21.61,553.65,2388.09,9047.82,1.3,47.34,521.17,2388.06,8128.01,8.4314,0.03,395,2388,100.0,38.99,23.3427
71,2/1/2024 0:01,1,-0.0027,0.0004,100.0,518.67,642.35,1588.08,1394.27,14.62,21.61,553.22,2388.03,9064.13,1.3,47.27,522.92,2388.05,8154.78,8.4024,0.03,391,2388,100.0,39.08,23.3335
72,2/1/2024 0:01,1,-0.0025,-0.0004,100.0,518.67,642.05,1589.55,1397.81,14.62,21.61,554.3,2388.06,9067.85,1.3,47.39,522.26,2387.99,8141.43,8.3597,0.03,391,2388,100.0,39.04,23.5012
73,2/1/2024 0:01,1,-0.001,-0.0,100.0,518.67,641.82,1581.48,1398.75,14.62,21.61,554.32,2388.07,9050.47,1.3,47.24,522.06,2388.02,8141.31,8.4126,0.03,391,2388,100.0,38.97,23.4417
74,2/1/2024 0:01,1,-0.0012,-0.0003,100.0,518.67,642.36,1585.31,1410.49,14.62,21.61,554.17,2388.03,9063.14,1.3,47.35,521.77,2388.05,8140.22,8.4118,0.03,393,2388,100.0,38.97,23.3626
75,2/1/2024 0:01,1,0.0018,-0.0003,100.0,518.67,641.82,1587.44,1400.17,14.62,21.61,554.43,2388.0,9055.79,1.3,47.35,522.15,2388.04,8137.62,8.4068,0.03,392,2388,100.0,38.84,23.4836
76,2/1/2024 0:01,1,0.0005,-0.0,100.0,518.67,641.68,1583.52,1395.95,14.62,21.61,554.24,2388.05,9057.45,1.3,47.15,522.52,2387.98,8137.85,8.459,0.03,393,2388,100.0,38.94,23.3414
77,2/1/2024 0:01,1,0.0026,0.0,100.0,518.67,642.35,1590.2,1397.55,14.62,21.61,553.96,2388.07,9058.45,1.3,47.33,521.95,2388.04,8132.47,8.3977,0.03,391,2388,100.0,39.06,23.4108
78,2/1/2024 0:01,1,-0.0034,-0.0002,100.0,518.67,642.47,1574.83,1401.11,14.62,21.6,555.19,2388.01,9060.41,1.3,47.04,522.43,2387.98,8136.58,8.4153,0.03,391,2388,100.0,39.06,23.4601
79,2/1/2024 0:01,1,0.0018,-0.0,100.0,518.67,642.42,1584.78,1400.71,14.62,21.61,554.23,2388.05,9051.49,1.3,47.43,522.19,2388.06,8130.79,8.4288,0.03,390,2388,100.0,39.04,23.4001
80,2/1/2024 0:01,1,-0.0012,-0.0002,100.0,518.67,641.83,1590.47,1398.85,14.62,21.61,553.75,2388.05,9057.79,1.3,47.34,521.56,2388.01,8146.62,8.4045,0.03,393,2388,100.0,38.96,23.3054
81,2/1/2024 0:01,1,0.0003,-0.0003,100.0,518.67,642.03,1593.57,1402.35,14.62,21.61,554.19,2388.04,9065.91,1.3,47.28,521.57,2387.98,8150.12,8.4176,0.03,393,2388,100.0,38.96,23.4348
82,2/1/2024 0:01,1,0.0031,-0.0004,100.0,518.67,642.29,1591.14,1398.16,14.62,21.61,553.81,2388.0,9068.74,1.3,47.1,521.98,2387.98,8147.87,8.431,0.03,392,2388,100.0,39.0,23.2952
83,2/1/2024 0:01,1,0.0005,-0.0002,100.0,518.67,642.22,1592.15,1401.34,14.62,21.61,554.1,2388.06,9059.21,1.3,47.47,521.98,2388.05,8144.02,8.4082,0.03,393,2388,100.0,39.03,23.3783
84,2/1/2024 0:01,1,-0.0003,-0.0003,100.0,518.67,642.42,1585.46,1399.23,14.62,21.61,553.31,2388.11,9056.36,1.3,47.55,522.07,2388.02,8135.36,8.4445,0.03,392,2388,100.0,38.94,23.3887
85,2/1/2024 0:01,1,0.0027,0.0001,100.0,518.67,642.3,1586.71,1406.68,14.62,21.61,553.89,2388.09,9048.61,1.3,47.55,521.98,2388.15,8127.39,8.3988,0.03,394,2388,100.0,39.1,23.3162
86,2/1/2024 0:01,1,-0.002,-0.0002,100.0,518.67,642.4,1585.93,1400.6,14.62,21.61,554.17,2388.02,9054.63,1.3,47.24,522.06,2388.07,8145.52,8.4242,0.03,392,2388,100.0,38.79,23.4524
87,2/1/2024 0:01,1,-0.0048,-0.0004,100.0,518.67,642.11,1584.55,1401.07,14.62,21.6,553.92,2388.06,9062.1,1.3,47.32,522.11,2387.97,8141.53,8.4081,0.03,389,2388,100.0,38.92,23.5003
88,2/1/2024 0:01,1,0.0005,-0.0004,100.0,518.67,642.45,1594.7,1405.79,14.62,21.61,554.06,2388.07,9038.48,1.3,47.44,521.78,2388.13,8120.5,8.4205,0.03,394,2388,100.0,39.0,23.3014
89,2/1/2024 0:01,1,-0.0001,0.0004,100.0,518.67,642.46,1590.05,1404.94,14.62,21.61,553.47,2388.11,9047.52,1.3,47.48,521.52,2388.15,8124.16,8.436,0.03,392,2388,100.0,38.88,23.2321
90,2/1/2024 0:01,1,-0.0037,-0.0,100.0,518.67,642.89,1587.96,1401.49,14.62,21.61,553.51,2388.11,9050.96,1.3,47.37,521.31,2388.08,8135.36,8.3984,0.03,393,2388,100.0,38.95,23.3891
91,2/1/2024 0:01,1,0.0019,-0.0004,100.0,518.67,642.9,1591.39,1403.1,14.62,21.61,553.3,2388.12,9053.39,1.3,47.51,520.91,2388.15,8133.2,8.4285,0.03,392,2388,100.0,38.73,23.2484
