unit_nr,event_time,time_cycles,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,2026-01-01 00:00:01,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.70,1400.60,14.62,21.61,554.36,2388.06,9046.19,1.30,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.00,39.06,23.4190
7,2026-01-01 00:00:01,1,-0.0005,0.0004,100.0,518.67,642.38,1589.49,1395.48,14.62,21.61,554.76,2387.97,9071.27,1.30,47.24,522.19,2387.99,8141.69,8.4081,0.03,390,2388,100.00,38.97,23.4073
8,2026-01-01 00:00:01,1,-0.0026,-0.0003,100.0,518.67,643.18,1585.17,1409.75,14.62,21.61,552.31,2388.12,9048.66,1.30,47.30,521.23,2388.13,8123.47,8.4808,0.03,393,2388,100.00,38.90,23.3468
9,2026-01-01 00:00:01,1,0.0005,0.0004,100.0,518.67,642.18,1582.99,1396.22,14.62,21.61,554.35,2387.96,9065.59,1.30,47.09,522.34,2387.95,8149.16,8.4020,0.03,391,2388,100.00,39.04,23.5349
10,2026-01-01 00:00:01,1,-0.0014,0.0004,100.0,518.67,641.92,1587.93,1392.20,14.62,21.61,554.37,2388.00,9051.46,1.30,47.05,522.54,2388.01,8137.61,8.4039,0.03,391,2388,100.00,39.04,23.5309
13,2026-01-01 00:00:01,1,-0.0010,-0.0002,100.0,518.67,641.94,1594.32,1405.50,14.62,21.61,554.14,2388.07,9051.55,1.30,47.46,520.87,2388.11,8131.99,8.4393,0.03,392,2388,100.00,38.76,23.3793
14,2026-01-01 00:00:01,1,0.0031,0.0005,100.0,518.67,642.88,1587.54,1403.23,14.62,21.61,552.82,2388.09,9058.57,1.30,47.46,521.60,2388.09,8137.36,8.4549,0.03,392,2388,100.00,38.80,23.2687
16,2026-01-01 00:00:01,1,0.0004,0.0002,100.0,518.67,642.90,1583.42,1411.32,14.62,21.61,552.96,2388.11,9056.38,1.30,47.41,520.82,2388.11,8136.24,8.4573,0.03,392,2388,100.00,38.84,23.2792
21,2026-01-01 00:00:01,1,-0.0017,-0.0005,100.0,518.67,642.24,1582.88,1410.66,14.62,21.61,553.57,2388.07,9047.42,1.30,47.44,521.76,2388.06,8128.48,8.4181,0.03,395,2388,100.00,38.90,23.3554
24,2026-01-01 00:00:01,1,0.0008,-0.0004,100.0,518.67,642.17,1587.90,1403.12,14.62,21.61,554.00,2388.07,9066.64,1.30,47.10,522.08,2388.00,8146.09,8.4030,0.03,391,2388,100.00,39.08,23.3594
26,2026-01-01 00:00:01,1,0.0002,-0.0002,100.0,518.67,642.50,1591.55,1411.43,14.62,21.61,552.93,2388.14,9041.19,1.30,47.56,521.53,2388.13,8126.96,8.4322,0.03,393,2388,100.00,38.82,23.3124
27,2026-01-01 00:00:01,1,0.0004,-0.0000,100.0,518.67,642.41,1592.81,1403.33,14.62,21.61,554.08,2388.08,9053.27,1.30,47.61,521.21,2388.06,8144.58,8.4088,0.03,391,2388,100.00,38.74,23.3425
33,2026-01-01 00:00:01,1,-0.0021,0.0003,100.0,518.67,642.24,1584.98,1396.83,14.62,21.61,554.03,2388.01,9057.65,1.30,47.21,522.49,2388.03,8145.03,8.3918,0.03,390,2388,100.00,38.90,23.5107
41,2026-01-01 00:00:01,1,-0.0034,-0.0003,100.0,518.67,642.66,1581.02,1400.05,14.62,21.61,554.87,2387.99,9064.13,1.30,47.19,522.24,2388.08,8153.35,8.4130,0.03,391,2388,100.00,38.94,23.3608
44,2026-01-01 00:00:01,1,-0.0004,0.0004,100.0,518.67,642.34,1588.01,1399.96,14.62,21.61,554.28,2388.03,9061.49,1.30,47.17,522.14,2388.02,8145.19,8.4232,0.03,391,2388,100.00,39.06,23.3551
47,2026-01-01 00:00:01,1,0.0018,0.0001,100.0,518.67,642.27,1581.75,1402.34,14.62,21.61,554.99,2387.98,9059.40,1.30,47.21,522.64,2387.99,8144.86,8.4063,0.03,392,2388,100.00,39.09,23.2883
54,2026-01-01 00:00:01,1,0.0015,-0.0000,100.0,518.67,642.55,1582.13,1395.54,14.62,21.61,554.37,2388.02,9056.97,1.30,47.16,521.64,2388.05,8139.33,8.3900,0.03,390,2388,100.00,39.16,23.3164
63,2026-01-01 00:00:01,1,0.0005,-0.0001,100.0,518.67,642.61,1585.01,1405.59,14.62,21.61,553.95,2388.07,9050.26,1.30,47.38,521.24,2388.09,8137.64,8.3950,0.03,392,2388,100.00,38.98,23.4455
67,2026-01-01 00:00:01,1,0.0014,-0.0003,100.0,518.67,642.52,1583.12,1398.16,14.62,21.61,553.89,2388.09,9062.52,1.30,47.28,521.92,2388.04,8134.47,8.4813,0.03,391,2388,100.00,39.03,23.3564
70,2026-01-01 00:00:01,1,0.0021,0.0001,100.0,518.67,642.26,1588.45,1400.02,14.62,21.61,552.94,2388.09,9065.41,1.30,47.61,521.18,2388.07,8138.06,8.4300,0.03,392,2388,100.00,38.81,23.4180
71,2026-01-01 00:00:01,1,0.0027,-0.0004,100.0,518.67,642.64,1581.95,1407.04,14.62,21.61,553.56,2388.11,9042.70,1.30,47.44,521.90,2388.13,8126.82,8.4372,0.03,391,2388,100.00,38.99,23.2399
75,2026-01-01 00:00:01,1,-0.0002,0.0004,100.0,518.67,642.10,1590.06,1404.45,14.62,21.61,553.69,2388.10,9045.13,1.30,47.64,521.34,2388.06,8122.59,8.4538,0.03,392,2388,100.00,38.98,23.2272
76,2026-01-01 00:00:01,1,0.0005,0.0000,100.0,518.67,642.66,1585.01,1411.33,14.62,21.61,554.11,2388.12,9054.53,1.30,47.50,521.51,2388.10,8128.52,8.4346,0.03,393,2388,100.00,38.75,23.3154
78,2026-01-01 00:00:01,1,0.0016,-0.0004,100.0,518.67,642.00,1587.50,1395.10,14.62,21.61,554.76,2388.02,9055.79,1.30,47.00,522.48,2387.96,8139.23,8.3303,0.03,392,2388,100.00,39.26,23.4923
83,2026-01-01 00:00:01,1,-0.0051,-0.0000,100.0,518.67,642.14,1581.34,1392.65,14.62,21.61,554.79,2388.06,9057.43,1.30,47.14,522.26,2388.03,8148.42,8.3915,0.03,391,2388,100.00,39.13,23.3768
90,2026-01-01 00:00:01,1,-0.0013,-0.0004,100.0,518.67,642.34,1584.51,1394.55,14.62,21.61,553.98,2388.08,9056.25,1.30,47.06,521.98,2388.01,8139.65,8.4261,0.03,392,2388,100.00,39.07,23.4068
92,2026-01-01 00:00:01,1,-0.0065,-0.0003,100.0,518.67,642.22,1591.86,1401.89,14.62,21.61,553.48,2388.10,9057.74,1.30,47.44,521.81,2388.09,8136.55,8.3948,0.03,392,2388,100.00,38.87,23.4047
93,2026-01-01 00:00:01,1,-0.0032,-0.0001,100.0,518.67,642.51,1579.70,1402.95,14.62,21.61,554.54,2388.07,9060.70,1.30,47.13,522.42,2388.03,8139.06,8.4373,0.03,391,2388,100.00,39.03,23.3501
97,2026-01-01 00:00:01,1,-0.0038,0.0003,100.0,518.67,642.01,1581.83,1395.40,14.62,21.61,554.31,2388.04,9044.30,1.30,47.21,522.34,2388.05,8130.81,8.4027,0.03,391,2388,100.00,38.94,23.3732
99,2026-01-01 00:00:01,1,0.0011,0.0005,100.0,518.67,641.69,1586.17,1391.14,14.62,21.61,554.09,2388.03,9064.32,1.30,47.41,522.65,2388.06,8131.23,8.4038,0.03,391,2388,100.00,39.01,23.4007
1,2026-01-01 00:00:02,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.30,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.00,39.00,23.4236
7,2026-01-01 00:00:02,2,0.0008,-0.0003,100.0,518.67,642.57,1583.11,1395.97,14.62,21.61,553.97,2388.00,9078.21,1.30,47.00,522.30,2388.02,8148.24,8.4216,0.03,391,2388,100.00,38.85,23.5043
8,2026-01-01 00:00:02,2,-0.0012,-0.0003,100.0,518.67,642.92,1585.97,1410.81,14.62,21.61,552.74,2388.11,9040.66,1.30,47.62,521.82,2388.13,8120.18,8.4209,0.03,392,2388,100.00,38.90,23.2926
9,2026-01-01 00:00:02,2,0.0001,0.0001,100.0,518.67,641.91,1580.17,1394.70,14.62,21.61,554.85,2387.94,9063.39,1.30,47.12,523.03,2387.98,8148.23,8.4331,0.03,392,2388,100.00,38.97,23.4335
10,2026-01-01 00:00:02,2,0.0009,0.0005,100.0,518.67,642.22,1586.81,1392.03,14.62,21.61,554.76,2388.06,9057.03,1.30,47.20,523.04,2388.04,8142.57,8.3868,0.03,390,2388,100.00,39.05,23.3106
